RMAT,7281975,7281975,7281975,7281975,7281975,7281975,7281975,7281975,7281975,7281975
flickr-growth,4209200,4209200,4209200,4209200,4209200,4209200,4209200,4209200,4209200,4209200
zhishi-hudong-relatedpages,13628269,13628269,13628269,13628269,13628269,13628269,13628269,13628269,13628269,13628269
wikipedia_link_en,10850619,10850619,10850619,10850619,10850619,10850619,10850619,10850619,10850619,10850619
twitter_www,33205941,33205941,33205941,33205941,33205941,33205941,33205941,33205941,33205941,33205941
random,42752530,42752530,42752530,42752530,42752530,42752530,42752530,42752530,42752530,42752530
pokec,4785060,4785060,4785060,4785060,4785060,4785060,4785060,4785060,4785060,4785060
baidu,5213638,5213638,5213638,5213638,5213638,5213638,5213638,5213638,5213638,5213638
wiki_communication,66202,66202,66202,66202,66202,66202,66202,66202,66202,66202
facebook,82286623,82286623,82286623,82286623,82286623,82286623,82286623,82286623,82286623,82286623
dbpedia,0,0,0,0,0,0,0,0,0,0
wiki_talk_en,655200,655200,655200,655200,655200,655200,655200,655200,655200,655200
livejournal,52809333,52809333,52809333,52809333,52809333,52809333,52809333,52809333,52809333,52809333
twitter_mpi,68717275,68717275,68717275,68717275,68717275,68717275,68717275,68717275,68717275,68717275
wikipedia_en,8017686,8017686,8017686,8017686,8017686,8017686,8017686,8017686,8017686,8017686
