RMAT,3244124,3271619,3111341,3156092,3130046,3095416,3072707,3151062,3146501,3225251
flickr-growth,2812687,2802632,2779026,2779286,2785422,2788511,2776651,2780446,2785095,2777425
zhishi-hudong-relatedpages,11817206,11798449,11755053,11765821,11764878,11731121,11818618,11742254,11743393,11760222
wikipedia_link_en,6633526,6685082,6665655,6655889,6647083,6680150,6608122,6671553,6732398,6691999
twitter_www,25075187,25387282,25464769,25360093,25377535,25558447,25580468,25393905,25628410,25375434
random,9850887,9852378,9851093,9850550,9852725,9853467,9853454,9853671,9853569,9854095
pokec,1663071,1651427,1850832,1854444,1667037,1680469,1746509,1764127,1663905,1672177
baidu,2414086,2410507,2481672,2496856,2410345,2409538,2442462,2421975,2402274,2421806
wiki_communication,63885,64094,64217,64295,63892,64025,64046,64077,63998,63886
facebook,7454693,7634589,7768914,7483528,7642986,7770103,7797907,7739758,7716123,7807536
dbpedia,0,0,0,0,0,0,0,0,0,0
wiki_talk_en,647446,647739,647331,647447,647361,647521,647507,647338,647478,647493
livejournal,9301937,10207737,10614502,10389535,10456294,9105236,8946073,8261651,9071030,8426518
twitter_mpi,41550432,42372398,43229331,41540967,41731754,41692174,41877493,41756973,41606886,42039612
wikipedia_en,4766387,4877054,4906867,4875745,4859584,4847081,4933252,4865882,4875985,4879586
