RMAT,528934,528934,528934,528934,528934,528934,528934,528934,528934,528934
flickr-growth,4768984,4768984,4768984,4768984,4768984,4768984,4768984,4768984,4768984,4768984
zhishi-hudong-relatedpages,5452819,5452819,5452819,5452819,5452819,5452819,5452819,5452819,5452819,5452819
wikipedia_link_en,63200207,63200207,63200207,63200207,63200207,63200207,63200207,63200207,63200207,63200207
twitter_www,52567743,52567743,52567743,52567743,52567743,52567743,52567743,52567743,52567743,52567743
random,37031291,37031291,37031291,37031291,37031291,37031291,37031291,37031291,37031291,37031291
pokec,3435680,3435680,3435680,3435680,3435680,3435680,3435680,3435680,3435680,3435680
baidu,2506293,2506293,2506293,2506293,2506293,2506293,2506293,2506293,2506293,2506293
wiki_communication,158746,158746,158746,158746,158746,158746,158746,158746,158746,158746
facebook,435056595,435056595,435056595,435056595,435056595,435056595,435056595,435056595,435056595,435056595
dbpedia,2378144,2378144,2378144,2378144,2378144,2378144,2378144,2378144,2378144,2378144
wiki_talk_en,1818078,1818078,1818078,1818078,1818078,1818078,1818078,1818078,1818078,1818078
livejournal,33173274,33173274,33173274,33173274,33173274,33173274,33173274,33173274,33173274,33173274
twitter_mpi,48066432,48066432,48066432,48066432,48066432,48066432,48066432,48066432,48066432,48066432
wikipedia_en,27852880,27852880,27852880,27852880,27852880,27852880,27852880,27852880,27852880,27852880
